unit,site,block,name,plot,seed.total,seed.nassella,seed.bromus,seed.elymus,ntrt,dist,year,taxa,mass
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,GALIUM APARINE,0.0026
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,BROMUS HORDEACEUS,2.85
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,ERODIUM BOTRYS,47.040001
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,TRIFOLIUM GRACILENTUM,0.9562
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,EREMOCARPUS SETIGERUS,0.006
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2004,TRIFOLIUM SPECIES,0.5545
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,LITTER,37.110001
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,LITTER,49.380001
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,HYPOCHAERIS GLABRA,1.52
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,ERODIUM BOTRYS,15.47
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,GALIUM APARINE,0.0053
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,PHLOX GRACILIS,0.009
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,LUPINUS SPECIES,0.0128
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,TORILIS NODOSA,0.0136
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2004,HYPOCHAERIS GLABRA,0.0725
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2004,AVENA BARBATA,0.7875
