unit,site,block,name,plot,seed.total,seed.nassella,seed.bromus,seed.elymus,ntrt,ntrt,dist,year,taxa,cover
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,TRIFOLIUM HIRTUM,50
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,TRIFOLIUM HIRTUM,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,ERODIUM BOTRYS,40
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,AVENA BARBATA,10
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,BROMUS DIANDRUS,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,HYPOCHAERIS GLABRA,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,CLARKIA PURPUREA,90
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2004,TRIFOLIUM HIRTUM,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,AVENA BARBATA,10
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2007,CLARKIA PURPUREA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2004,ERODIUM BOTRYS,100
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,AVENA BARBATA,10
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,ERODIUM BOTRYS,60
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2007,AVENA BARBATA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,GALIUM APARINE,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2010,FILAGO GALLICA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2009,AVENA BARBATA,45
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2008,AVENA FATUA,30
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2010,AVENA BARBATA,10
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2007,HYPOCHAERIS GLABRA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,GALIUM APARINE,15
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,HYPOCHAERIS GLABRA,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,APIACEAE SPECIES,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,EREMOCARPUS SETIGERUS,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2009,ERODIUM BOTRYS,40
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,GALIUM APARINE,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,APIACEAE SPECIES,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,HYPOCHAERIS GLABRA,3
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,CLARKIA PURPUREA,30
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2004,ERODIUM BOTRYS,30
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2010,BROMUS HORDEACEUS,1
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2005,AVENA BARBATA,3
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2010,LUPINUS NANUS,1
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2007,APIACEAE SPECIES,1
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2005,GILIA ACHILLEIFOLIA,20
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2009,FILAGO GALLICA,1
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2008,TRIFOLIUM HIRTUM,2
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2010,ERODIUM BOTRYS,40
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2004,LUPINUS NANUS,30
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2006,GALIUM APARINE,6
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2010,SILENE GALLICA,1
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2010,TRIFOLIUM HIRTUM,7
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2006,CLARKIA PURPUREA,10
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2004,ERODIUM BOTRYS,100
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2008,HYPOCHAERIS GLABRA,1
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2005,FILAGO GALLICA,2
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2010,LOTUS STRIGOSUS,1
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2007,AVENA FATUA,2
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2010,FILAGO GALLICA,1
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2006,ERODIUM BOTRYS,15
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,organic_matter,1,2007,ERODIUM BOTRYS,80
